date,week,site,species,replicate,drymass_g,area_cm2
7/13/2022,8,c,h,2,0.029,2.586
7/13/2022,8,c,h,3,0.0711,2.779
7/13/2022,8,c,h,4,0.053,2.333
7/13/2022,8,c,h,5,0.076,3.872
7/12/2022,8,p,m,1,0.155,22.596
7/12/2022,8,p,m,2,0.073,8.877
7/12/2022,8,p,m,3,0.077,9.187
7/12/2022,8,p,m,4,0.145,16.664
7/12/2022,8,p,m,5,0.132,17.168
7/12/2022,8,p,d,1,0.182,17.916
7/12/2022,8,p,d,2,0.165,14.508
7/12/2022,8,p,d,3,0.165,13.204
7/12/2022,8,p,d,4,0.222,17.833
7/12/2022,8,p,d,5,0.202,18.594
7/12/2022,8,p,h,1,0.07,5.032
7/12/2022,8,p,h,2,,
7/12/2022,8,p,h,3,0.042,2.953
7/12/2022,8,p,h,4,0.06,4.944
7/12/2022,8,p,h,5,0.052,3.748
7/19/2022,9,p,m,1,0.12648,13.217
7/19/2022,9,p,m,2,0.28422,28.336
7/19/2022,9,p,m,3,0.13914,17.725
7/19/2022,9,p,m,4,0.16499,17.93
7/19/2022,9,p,m,5,0.13698,17.078
7/19/2022,9,p,d,1,0.20707,14.077
7/19/2022,9,p,d,2,0.2434,18.959
7/19/2022,9,p,d,3,0.21724,17.222
7/19/2022,9,p,d,4,0.11459,11.083
7/19/2022,9,p,d,5,0.14612,11.737
7/19/2022,9,p,h,1,0.06975,3.718
7/19/2022,9,p,h,2,,
7/19/2022,9,p,h,3,0.08534,5.743
7/19/2022,9,p,h,4,0.10946,8.481
7/19/2022,9,p,h,5,0.055709,3.937
7/20/2022,9,c,m,1,0.1094,11.131
7/20/2022,9,c,m,2,0.07251,7.798
7/20/2022,9,c,m,3,0.12753,11.603
7/20/2022,9,c,m,4,0.07554,9.154
7/20/2022,9,c,m,5,0.09056,12.691
7/20/2022,9,c,d,1,0.33266,26.386
7/20/2022,9,c,d,2,0.13295,12.746
7/20/2022,9,c,d,3,0.14109,11.679
7/20/2022,9,c,d,4,0.21287,15.172
7/20/2022,9,c,d,5,0.16271,17.43
7/20/2022,9,c,h,1,0.0479,3.543
7/20/2022,9,c,h,2,0.08242,6.419
7/20/2022,9,c,h,3,0.06022,3.851
7/20/2022,9,c,h,4,0.06861,3.904
7/20/2022,9,c,h,5,0.04069,3.475
7/27/2022,10,c,m,1,0.1383,15.55
7/27/2022,10,c,m,2,0.1291,14.424
7/27/2022,10,c,m,3,0.134,12.888
7/27/2022,10,c,m,4,0.14,17.25
7/27/2022,10,c,m,5,0.071,9.075
7/27/2022,10,c,d,1,0.1579,16.221
7/27/2022,10,c,d,2,,7.239
7/27/2022,10,c,d,3,0.1197,10.28
7/27/2022,10,c,d,4,0.1968,16.71
7/27/2022,10,c,d,5,0.1469,15.623
7/27/2022,10,c,h,1,0.061,3.823
7/27/2022,10,c,h,2,0.0398,3.22
7/27/2022,10,c,h,3,0.0441,2.717
7/27/2022,10,c,h,4,0.09,4.772
7/27/2022,10,c,h,5,0.0971,8.253
7/27/2022,10,p,m,1,0.106,10.524
7/27/2022,10,p,m,2,0.0697,8.876
7/27/2022,10,p,m,3,0.1823,18.725
7/27/2022,10,p,m,4,0.1654,15.706
7/27/2022,10,p,m,5,0.16314,16.942
7/27/2022,10,p,d,1,0.1014,9.38
7/27/2022,10,p,d,2,0.107,12.76
7/27/2022,10,p,d,3,0.117,11.501
7/27/2022,10,p,d,4,0.132,13.234
7/27/2022,10,p,d,5,0.08478,8.921
7/27/2022,10,p,h,1,0.0653,4.617
7/27/2022,10,p,h,2,,
7/27/2022,10,p,h,3,0.0481,4.216
7/27/2022,10,p,h,4,0.0563,3.952
7/27/2022,10,p,h,5,0.0888,6.425
