date,site,species,replicate,dbh_mm
6/21/2022,c,m,2,59.4
6/21/2022,c,m,3,48.75
6/21/2022,c,m,4,57.3
6/21/2022,c,m,5,48.95
6/21/2022,c,d,1,37.57
6/21/2022,c,d,2,34.49
6/21/2022,c,d,3,37.27
6/21/2022,c,d,4,36.21
6/21/2022,c,d,5,43.13
6/21/2022,c,h,1,38.67
6/21/2022,c,h,2,35.56
6/21/2022,c,h,3,40.72
6/21/2022,c,h,4,39.59
6/21/2022,c,h,5,40.8
6/21/2022,p,m,1,58.59
6/21/2022,p,m,2,53.85
6/21/2022,p,m,3,53.28
6/21/2022,p,m,4,43.36
6/21/2022,p,m,5,54.86
6/21/2022,p,d,1,38
6/21/2022,p,d,2,33.06
6/21/2022,p,d,3,35.23
6/21/2022,p,d,4,36.25
6/21/2022,p,d,5,34.81
6/21/2022,p,h,1,40.46
6/21/2022,p,h,2,45.68
6/21/2022,p,h,3,42
6/21/2022,p,h,4,38.11
6/21/2022,p,h,5,44.75
6/28/2022,p,m,1,60.04
6/28/2022,p,m,2,53.54
6/28/2022,p,m,3,52.18
6/28/2022,p,m,4,43.49
6/28/2022,p,m,5,55.22
6/28/2022,p,d,1,39.87
6/28/2022,p,d,2,33.71
6/28/2022,p,d,3,35.6
6/28/2022,p,d,4,37.21
6/28/2022,p,d,5,34.95
6/28/2022,p,h,1,39.95
6/28/2022,p,h,2,45.95
6/28/2022,p,h,3,41.19
6/28/2022,p,h,4,38.3
6/28/2022,p,h,5,44.11
6/29/2022,c,m,1,44.24
6/29/2022,c,m,2,58.06
6/29/2022,c,m,3,49.34
6/29/2022,c,m,4,57.49
6/29/2022,c,m,5,49.82
6/29/2022,c,d,1,37.6
6/29/2022,c,d,2,35.4
6/29/2022,c,d,3,37.28
6/29/2022,c,d,4,36.76
6/29/2022,c,d,5,43.18
6/29/2022,c,h,1,38.23
6/29/2022,c,h,2,35.22
6/29/2022,c,h,3,41.16
6/29/2022,c,h,4,39.71
6/29/2022,c,h,5,40.9
7/5/2022,c,m,1,44.15
7/5/2022,c,m,2,58.42
7/5/2022,c,m,3,49.86
7/5/2022,c,m,4,57.56
7/5/2022,c,m,5,51.83
7/5/2022,c,d,1,37.75
7/5/2022,c,d,2,35.38
7/5/2022,c,d,3,37.3
7/5/2022,c,d,4,36.87
7/5/2022,c,d,5,43.63
7/5/2022,c,h,1,38.43
7/5/2022,c,h,2,35.06
7/5/2022,c,h,3,41.21
7/5/2022,c,h,4,39.71
7/5/2022,c,h,5,40.71
7/6/2022,p,m,1,59.24
7/6/2022,p,m,2,53.64
7/6/2022,p,m,3,54.29
7/6/2022,p,m,4,43.58
7/6/2022,p,m,5,55.81
7/6/2022,p,d,1,38.12
7/6/2022,p,d,2,34.96
7/6/2022,p,d,3,36.25
7/6/2022,p,d,4,37.06
7/6/2022,p,d,5,35
7/6/2022,p,h,1,40.38
7/6/2022,p,h,2,46.64
7/6/2022,p,h,3,42.12
7/6/2022,p,h,4,38.16
7/6/2022,p,h,5,44.49
7/12/2022,c,m,1,44.6
7/12/2022,c,m,2,60.04
7/12/2022,c,m,3,49.05
7/12/2022,c,m,4,57.67
7/12/2022,c,m,5,51.22
7/12/2022,c,d,1,37.87
7/12/2022,c,d,2,35.63
7/12/2022,c,d,3,38.16
7/12/2022,c,d,4,37.24
7/12/2022,c,d,5,43.5
7/12/2022,c,h,1,38.92
7/12/2022,c,h,2,35.65
7/12/2022,c,h,3,41.47
7/12/2022,c,h,4,40.14
7/12/2022,c,h,5,40.98
7/12/2022,p,m,1,55.65
7/12/2022,p,m,2,55.47
7/12/2022,p,m,3,53.66
7/12/2022,p,m,4,43.57
7/12/2022,p,m,5,55.86
7/12/2022,p,d,1,42.66
7/12/2022,p,d,2,34.01
7/12/2022,p,d,3,36.79
7/12/2022,p,d,4,37.66
7/12/2022,p,d,5,35.3
7/12/2022,p,h,1,40.15
7/12/2022,p,h,2,46.64
7/12/2022,p,h,3,42.08
7/12/2022,p,h,4,39.28
7/12/2022,p,h,5,44.89
7/19/2022,p,m,1,59.77
7/19/2022,p,m,2,53.76
7/19/2022,p,m,3,53.56
7/19/2022,p,m,4,44.18
7/19/2022,p,m,5,55.77
7/19/2022,p,d,1,41.77
7/19/2022,p,d,2,35.19
7/19/2022,p,d,3,36.69
7/19/2022,p,d,4,37.77
7/19/2022,p,d,5,35.84
7/19/2022,p,h,1,40.38
7/19/2022,p,h,2,46.54
7/19/2022,p,h,3,46.21
7/19/2022,p,h,4,39.48
7/19/2022,p,h,5,44.91
7/20/2022,c,m,1,44.51
7/20/2022,c,m,2,59.97
7/20/2022,c,m,3,49.18
7/20/2022,c,m,4,57.74
7/20/2022,c,m,5,51.92
7/20/2022,c,d,1,38
7/20/2022,c,d,2,35.6
7/20/2022,c,d,3,38.94
7/20/2022,c,d,4,38.06
7/20/2022,c,d,5,43.79
7/20/2022,c,h,1,39.17
7/20/2022,c,h,2,35.41
7/20/2022,c,h,3,41.43
7/20/2022,c,h,4,40.06
7/20/2022,c,h,5,41.3
7/27/2022,c,m,1,44.57
7/27/2022,c,m,2,60.04
7/27/2022,c,m,3,49.68
7/27/2022,c,m,4,57.64
7/27/2022,c,m,5,51.61
7/27/2022,c,d,1,38.22
7/27/2022,c,d,2,35.81
7/27/2022,c,d,3,39.22
7/27/2022,c,d,4,38.29
7/27/2022,c,d,5,43.8
7/27/2022,c,h,1,39.61
7/27/2022,c,h,2,35.61
7/27/2022,c,h,3,41.44
7/27/2022,c,h,4,40.22
7/27/2022,c,h,5,41.37
7/27/2022,p,m,1,60.49
7/27/2022,p,m,2,54.07
7/27/2022,p,m,3,54.19
7/27/2022,p,m,4,47.89
7/27/2022,p,m,5,55.9
7/27/2022,p,d,1,44.05
7/27/2022,p,d,2,33.44
7/27/2022,p,d,3,36.46
7/27/2022,p,d,4,39.19
7/27/2022,p,d,5,37.36
7/27/2022,p,h,1,40.65
7/27/2022,p,h,2,46.83
7/27/2022,p,h,3,45.89
7/27/2022,p,h,4,40.23
7/27/2022,p,h,5,44.99
